Date,Open,High,Low,Close,Volume,Close
2015/8/7,23.3,24,22.5,24,1595000,24
2015/8/10,24.3,24.4,23.85,24.4,1725000,24.4
2015/8/11,24.25,24.4,23.6,23.6,2094000,23.6
2015/8/12,23.55,23.85,23.1,23.4,2010000,23.4
2015/8/13,23.45,23.7,22.9,23.45,1765000,23.45
2015/8/14,23.4,23.65,23.3,23.3,1039000,23.3
2015/8/17,23.3,23.6,23.2,23.3,902000,23.3
2015/8/18,23.3,23.85,23.3,23.55,624000,23.55
2015/8/19,23.5,23.75,23.45,23.6,946000,23.6
2015/8/20,23.6,25.05,23.55,24.95,1619000,24.95
2015/8/21,24.85,25.9,24.85,24.95,1860000,24.95
2015/8/24,24.8,24.85,23.3,23.45,1223000,23.45
2015/8/25,23.1,23.7,23.1,23.7,680000,23.7
2015/8/26,23.5,23.7,23.35,23.5,385000,23.5
2015/8/27,23.75,23.9,23.45,23.6,484000,23.6
2015/8/28,23.6,23.7,23.45,23.5,218000,23.5
2015/8/31,23.5,23.5,23.3,23.5,277000,23.5
2015/9/1,23.3,23.6,23.3,23.45,309000,23.45
2015/9/2,23.4,23.45,23.2,23.45,331000,23.45
2015/9/3,23.45,23.5,23.2,23.5,407000,23.5
2015/9/4,23.5,24,23.2,23.65,942000,23.65
2015/9/7,23.6,24,23.6,23.75,553000,23.75
2015/9/8,23.9,24.25,23.8,23.8,409000,23.8
2015/9/9,23.9,23.95,23.5,23.85,408000,23.85
2015/9/10,24,24.2,23.85,24.2,240000,24.2
2015/9/11,24.15,24.2,23.95,24.2,287000,24.2
2015/9/14,24.2,24.3,23.6,24,314000,24
2015/9/15,23.95,24,23.65,24,122000,24
2015/9/16,24,24.8,23.65,24.8,1031000,24.8
2015/9/17,25.35,25.5,24.8,25.3,1992000,25.3
2015/9/18,25.5,25.5,24.5,24.9,1062000,24.9
2015/9/21,24.55,24.65,23.35,23.95,972000,23.95
2015/9/22,23.85,23.9,23.55,23.75,416000,23.75
2015/9/23,23.5,23.95,23.15,23.8,869000,23.8
2015/9/24,23.8,23.95,23.2,23.5,408000,23.5
2015/9/25,23.5,23.5,23.2,23.35,432000,23.35
2015/9/28,23.35,23.35,23.35,23.35,0,23.35
